evaluation_tier,evaluation_role,archive_relative_path,source_identifier,title,size_bytes,file_sha256,selection_reason
detailed_fidelity,simple_control,dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml,CNW 417,Duet,11464,0c951b13db076b7a1cbde40ed09209c90330b5873f552c348ddde1866f014361,"Simple control with an exact date, two performance resources, and absent source, event, and work-link structures."
detailed_fidelity,multilingual_responsibilities_uncertain_date,dcm-catalogue-data/cnw/data-cnw/cnw0277.xml,CNW 277,Serenade,23641,e47af881a96e9d981c287c0660030da8bb173bdbd0e162b8efee7b8c5cb1ce2a,"Exercises alternative and uniform multilingual titles, composer/author/translator roles, and a bounded uncertain date."
detailed_fidelity,components_manuscripts_performances,dcm-catalogue-data/cnw/data-cnw/cnw0063.xml,CNW 63,"Sonate nr. 1 for violin og klaver, opus 9",171164,8bf29bf5881b0cbfe03367d08806c6928eceb7395b6a61667ab2b57dcbd90a32,"Exercises component expressions, manifestations, items, the corpus hand-list case, and 38 performance events."
detailed_fidelity,link_categories_complex_responsibilities,dcm-catalogue-data/cnw/data-cnw/cnw0018.xml,CNW 18,"Musik til Helge Rodes skuespil ""Moderen"", opus 41",329160,f4466abc43b27f84447ab323458cce654a6253c2c9fd5d389efd9234d9b4967b,"Exercises internal versus external link categories, complex components and responsibilities, and the corpus maximum of nine work-level absolute URLs."
boundary_stress,missing_optional_information,dcm-catalogue-data/cnw/data-cnw/1292525519.xml,CNW 53,Trauermarsch,16623,027a31d3a8582590a1c1e87ced67cee16892b7f569b7608401cdda900564dbcf,"Boundary case with no direct creation date, zero populated performance resources, and no performance event or absolute work URL."
boundary_stress,cross_file_collection_graph,dcm-catalogue-data/cnw/data-cnw/03f4c141-9dab-46d7-b8c1-9d0000cc997a.xml,CNW Coll. 18,"Bidrag til ""Folkehøjskolens Melodibog"" (ca. 1923)",29171,e71b8c5662a7626fc382560ec16736543c756d2e53c4e4f7082657a6c4e2d03b,Collection boundary case with 38 hasPart relations and a cross-file graph rather than multiple works in one file.
boundary_stress,component_instrumentation_density,dcm-catalogue-data/cnw/data-cnw/cnw0017.xml,CNW 17,"Musik til Adam Oehlenschlägers skuespil ""Aladdin eller Den forunderlige Lampe"", opus 34",583753,59a7c5ab35c7949ccb4fcdfba0a7452b109c891c80d848fd02e2ec2eb8f422df,"Stress case with the highest expression and instrumentation density plus extensive sources, events, cast structures, and internal targets."
boundary_stress,largest_record_event_volume,dcm-catalogue-data/cnw/data-cnw/cnw0002.xml,CNW 2,Maskarade,1539005,23964c593c8d23bbe94f0b2eb56686c70b53d6aeda09a66d3d4e719060b46529,"Largest corpus file and maximum event-volume stress case, with extensive source and target structures."
focused_probe,duplicate_identifier_value,dcm-catalogue-data/cnw/data-cnw/cnw0027.xml,CNW 27,"Symfoni nr. 3, opus 27",494259,b28949b103dc3287d9ac2b8d3962f9c9e1b2cd41847393a96ba16dcedeba9e10,"Value 27 occurs under both Opus and CNW, probing the per-work identifier-value uniqueness constraint."
focused_probe,duplicate_identifier_value,dcm-catalogue-data/cnw/data-cnw/cnw0064.xml,CNW 64,"Sonate nr. 2 for violin og klaver, opus 35",165949,d297a3b00c3c6448dd835dc02df635948ab0b52e5dd3e8dfe259cf5c2ebc34a9,"Value 64 occurs under both CNW and FS, probing the per-work identifier-value uniqueness constraint."
focused_probe,duplicate_identifier_value,dcm-catalogue-data/cnw/data-cnw/cnw0070.xml,CNW 70,"Kvintet for fløjte, obo, klarinet, horn og fagot, opus 43",114939,25951260d56780befa9cc32f399cf520f777685a72dcd6ca33a6a45dd4159227,"Value 43 occurs under both Opus and CNS, probing the per-work identifier-value uniqueness constraint."
focused_probe,duplicate_identifier_value,dcm-catalogue-data/cnw/data-cnw/cnw0081.xml,CNW 81,"Fem klaverstykker, opus 3",88530,1cfffec37751779949ef083419e7ea910fb2d2861228b5f37bf9d8bfd3da0c2e,"Value 10 occurs under both CNS and FS, probing the per-work identifier-value uniqueness constraint."
focused_probe,duplicate_identifier_value,dcm-catalogue-data/cnw/data-cnw/cnw0237.xml,CNW 237,Sangen til Danmark,118668,8d31f16ab1f5dba21fc22e5cde687dba35e4c7ea8ac33e511758a8be7b43289f,"Value 237 occurs under both CNW and CNS, probing the per-work identifier-value uniqueness constraint."
focused_probe,nested_date_selection,dcm-catalogue-data/cnw/data-cnw/cnw0067.xml,CNW 67,Canto serioso,46000,5acce19b4b90b6ccbee2b22eca92c9c10537b007a3339bd52c7f65921310c895,No direct work date is present; nested creation dates probe whether a bibliographic date is misselected as composition.
focused_probe,explicit_namespace_prefix,dcm-catalogue-data/cnw/data-cnw/cnw0010.xml,CNW 10,"Musik til Ludvig Holsteins skuespil ""Tove""",86022,1bce493bc5c5057fc17c20286790e5ca2255fcb8d3de8c6e711924f796ed5e99,"Uses an explicit m prefix bound to the MEI namespace, probing namespace-removal and prefix handling."
